Process area,Level 1 Process,Module,Sub Process
R2R,General Accounting Consolidation & Reporting,MM,Inventory Accounting 
R2R,Treasury Operations,TR,Bank Management 
R2R,Customer Invoicing & AR (MBIL),SD,Inventory Accounting 
R2R,General Accounting Consolidation & Reporting,GL,Inventory Accounting 
R2R,HCM,HR,HCM
R2R,Management Cost Accounting,CO,Cost Accounting & Control
R2R,Source to Pay,MM,Service Management
R2R,Source to Pay,IM,Inventory Management
R2R,Vendor Invoicing & AP,AP,Payables and Outgoing payments
R2R,Vendor Invoicing & AP,AP,1099 Withholding Tax
R2R,Misc,SD,Misc
R2R,Misc,Misc,Misc
R2R,Misc,AP,
R2R,Misc,GL,Misc
R2R,Misc,AP,Misc
R2R,Source to Pay,SRM,Purchase Order
R2R,Fixed Asset & Project Accounting,SD,Capital Project Accounting
R2R,Customer Invoicing & AR (MBIL),SD,Customer Invoicing
R2R,Customer Invoicing & AR (MBIL),AR,Accounts Receivables & Incoming Payments
R2R,NA,Misc,NA
R2R,Vendor Invoicing & AP,AP,Payables & Outgoing Payables
R2R,General Accounting Consolidation & Reporting,FI,General Accounting
R2R,Management Cost Accounting,CO,Cost Accouting & Control
R2R,Treasury Operations,TR,Bank Management
R2R,Manage Taxes,TX,InDirect Taxes-Sales & US Tax
R2R,Vendor Invoicing & AP,Misc,Inventory Accounting
R2R,Fixed Asset & Project Accounting,TX,Project Accounting & Env Remediation
R2R,Vendor Invoicing & AP,Master Data,Vendor Maintenance
R2R,Customer Invoicing & AR (MBIL),AR,Receivables & Incoming Payments
R2R,Vendor Invoicing & AP,Advanced  Shipping Notification,Vendor Invoicing
R2R,Vendor Invoicing & AP, LPB - Utility Invoices from LPB,Vendor Invoicing
R2R,Fixed Asset & Project Accounting, TSAR - Create Project,Capital Project Accounting
R2R,Customer Invoicing & AR (MBIL), TTX - Car Repair Receivable,Customer Invoicing
R2R,Fixed Asset & Project Accounting, PowerPlant - GL Recon - fromSAP,Capital Project Accounting
R2R,Customer Invoicing & AR (MBIL), Joint Facilities - Joint facility invoice details,Customer Invoicing
R2R,General Accounting Consolidation & Reporting,GL Feeder System - 320 bytes - Change request 400 - PARENT,General Accounting
R2R,Fixed Asset & Project Accounting, TSAR - Damage costs,Capital Project Accounting
R2R,General Accounting Consolidation & Reporting, APC Deck - 03 NEC (Natural Expense Codes),General Accounting
R2R,General Accounting Consolidation & Reporting, APC Deck - 13 cost center groups,General Accounting
R2R,General Accounting Consolidation & Reporting, APC Deck - 59 GL accts by company,General Accounting
R2R,Customer Invoicing & AR (MBIL), RPMS - AR notes,Accounts Receivable & Incoming Payment
R2R,Customer Invoicing & AR (MBIL), RPMS - AR customer data,Customer Maintenance & Manage Credit
R2R,Customer Invoicing & AR (MBIL), RPMS - AR receivable open & closed,Accounts Receivable & Incoming Payment
R2R,Customer Invoicing & AR (MBIL), RPMS - AR payment data,Accounts Receivable & Incoming Payment
R2R,Fixed Asset & Project Accounting,PowerPlant - Create Project - SAPHost,Capital Project Accounting
R2R,Vendor Invoicing & AP,Vendor Master extract to heritage systems - PARENT,Vendor Maintenance
R2R,Vendor Invoicing & AP, Wachovia - Cleared check processing,Payable & Outgoing Payments
R2R,Vendor Invoicing & AP,Communications and Signals - TOAD feed to Payment Validation System (in Remedy),Payable & Outgoing Payments
R2R,Customer Invoicing & AR (MBIL),Credit Card - Invoice validation web service - SAPHost,Customer Invoicing
R2R,Customer Invoicing & AR (MBIL),RPMS - AR Agreement Increase Information,Accounts Receivable & Incoming Payment
R2R,Customer Invoicing & AR (MBIL),RPMS - AR Agreement Invoice History w/ Accounting,Accounts Receivable & Incoming Payment
R2R,Customer Invoicing & AR (MBIL),RPMS - AR Agreement Details,Accounts Receivable & Incoming Payment
R2R,Vendor Invoicing & AP, Joint Facilities - Send invoice status file,Vendor Invoicing
R2R,Customer Invoicing & AR (MBIL),Citibank - Customer Portal - Open invoices load ,Customer Invoicing
R2R,Customer Invoicing & AR (MBIL),Citibank - Customer Portal - Customer master F/M ,Customer Maintenance & Manage Credit
R2R,Customer Invoicing & AR (MBIL),Create Customer Master Data from Informix to ECC,Customer Maintenance & Manage Credit
R2R,Customer Invoicing & AR (MBIL),Update Customer Master Data from ECC to Informix,Customer Maintenance & Manage Credit
R2R,Vendor Invoicing & AP,Create Vendor Invoice Data from Informix to ECC,Vendor Invoicing
R2R,Vendor Invoicing & AP,Update Vendor Invoice Data from ECC to Informix,Vendor Invoicing
R2R,Customer Invoicing & AR (MBIL),Update Customer Balance Data from ECC to Informix,Customer Maintenance & Manage Credit
R2R,Customer Invoicing & AR (MBIL),Update Invoice Balance Data from ECC to Informix,Customer Invoicing
R2R,Customer Invoicing & AR (MBIL),Create Sales Invoice Data from Informix to ECC,Customer Invoicing
R2R,Customer Invoicing & AR (MBIL),Update Sales Invoice Data from ECC to Informix,Customer Invoicing
R2R,General Accounting Consolidation & Reporting,GL Master Data & Cost Center  Interface ,General Accounting
R2R,Vendor Invoicing & AP,Invoices,Vendor Invoicing
R2R,General Accounting Consolidation & Reporting, APC Deck - 02 cost centers - PARENT,General Accounting
R2R,Vendor Invoicing & AP, APC Deck - 02 cost centers - PARENT,Vendor Invoicing
R2R,Management  Cost Accounting,CO,Cost Accounting & Control
R2R,Vendor Invoicing & AP,AP,Payable & Outgoing Payments
R2R,Vendor Invoicing & AP,MM,Vendor Invoicing
R2R,Customer Invoicing & AR,SD,Customer Invoicing
R2R,Customer Invoicing & AR,PS,Customer Invoicing
R2R,Fixed Asset & Project Accounting,CO,Project Accounting & Env. Remediation
R2R,,,
R2R,Customer Invoicing & AR (MBIL),FI,Reporting 
R2R,Vendor Invoicing & AP,AP,Inventory Accounting 
R2R,Customer Invoicing & AR (MBIL),AR,Customer invoicing 
R2R,Customer Invoicing & AR (MBIL),AR,Customer Maintenance & Manage credit
R2R,Vendor Invoicing & AP,AP,1099 Tax Withholding/Reporting
R2R,Vendor Invoicing & AP,MM,Inventory Accounting 
R2R,Customer Invoicing & AR (MBIL),AR,Reporting 
R2R,Management Cost Accounting,CO ,Cost Accounting & Control
R2R,Fixed Asset & Project Accounting,IM,Project Accounting for Environmental Remediation
R2R,Misc,Basis,#N/A
R2R,Manage Taxes,TAX,Indirect Taxes - Sales & Use Tax 
R2R,General Accounting Consolidation & Reporting,TAX,External Audit Compliance 
R2R,Fixed Asset & Project Accounting,PS,Customer invoicing 
R2R,Customer Invoicing & AR (MBIL),SD,Reporting 
R2R,Vendor Invoicing & AP,FI,Travel & Purchase Card
R2R,General Accounting Consolidation & Reporting,GL,Internal Audit Compliance 
R2R,Vendor Invoicing & AP,AP,Reporting 
R2R,Fixed Asset & Project Accounting,GL,General Accounting
R2R,Customer Invoicing & AR (MBIL),AR,Bank Management 
R2R,Vendor Invoicing & AP,AP,Supplier invoicing and payments
R2R,Vendor Invoicing & AP,HCM,Travel & Purchase Card
R2R,Vendor Invoicing & AP,Travel,Travel & Purchase Card
R2R,Vendor Invoicing & AP,AP,Misc
R2R,Customer Invoicing & AR (MBIL),AR,Lockbox Integration
R2R,Vendor Invoicing & AP,GL,1099 Tax Withholding/Reporting
R2R,Fixed Asset & Project Accounting,PS,Direct Tax Property Tax
R2R,General Accounting Consolidation & Reporting,CO ,General Accounting
R2R,Customer Invoicing & AR (MBIL),CO ,Customer invoicing 
R2R,Vendor Invoicing & AP,AP,Travel & Purchase Card
R2R,Management Cost Accounting,CO ,Management Reporting
R2R,Treasury Operations,GL,Bank Management 
R2R,Misc,Misc,#N/A
HCM,Talent Management,Talent,Onboarding
HCM,Talent Management,Talent,Learning
HCM,Time Management,Time,Time Recording
HCM,Time Management,Time,Time Evaluation
HCM,Time Management,Time,Time Quotas
HCM,Payroll Admin,Payroll,Earnings & Deductions Consolidation
HCM,Payroll Admin,Payroll,Taxes Calculations
HCM,Payroll Admin,Payroll,Pension Admin.
P2P,Procurement,MM,Capacity Planning
P2P,Procurement,MM,Material Requirements Planning
P2P,Delivery Management,MM,Transportation Scheduling
P2P,Delivery Management,MM,Transportation Resource Management
P2P,Warehouse Mgt,WM,Storage Bin Management
P2P,Warehouse Mgt,WM,Warehouse Picking
P2P,Warehouse Mgt,WM,Warehouse Putaway
P2P,Warehouse Mgt,WM,Yard Management
